id,type,type_id
prevention strategies,service,2
preventive efforts,entity,4
priapism,condition,3
primary care practitioner,person,6
primary inattentive adhd,concept,7
primerthe columbia impairment scale,concept,7
printed handouts,documents,1
prior miscarriage,condition,3
prisma diagram in supplemental figure 1,concept,7
prison inmates,documents,1
prisoners,person,6
prkn,concept,7
proband,entity,4
"problem behaviors (e.g., aggression, caregiver-child relations)",condition,3
problem gambling,documents,1
problem solving,other,0
problematic behaviors,condition,3
problematic substance use,condition,3
problems,concept,7
problems with connections between the two hemispheres,concept,7
problems with peers,condition,3
procentra,documents,1
prof. faraone,person,6
professional health care associations,organization,8
prognosis,concept,7
prognosis in children with adhd,concept,7
program,concept,7
project steering committee,organization,8
protective scaffolding,concept,7
proteins,concept,7
proton pump inhibitors,documents,1
"providing specific and logical places for the child to keep their schoolwork, toys, and clothes",concept,7
provision of tutoring or resource room support,documents,1
provocation,concept,7
provoke- ing stimuli,condition,3
psoriasis,documents,1
psychiatric disorders in children and adults,other,0
psychiatric genomics consortium’s coordinating committee,organization,8
psychiatrists,person,6
psychoeducation,service,2
psychological tests,entity,4
psychological treatment,service,2
psychosis,condition,3
psychosocial and educational needs have been re-evaluated at least annually,concept,7
psychosocial domains of qol,concept,7
psychosocial impairment,condition,3
psychosocial interventions,service,2
psychosocial treatment,service,2
psychosocial well-being,concept,7
"psychosocial, school and emotional functioning",documents,1
psychostimulant medications,entity,4
psychotherapists,person,6
psychotherapy,concept,7
psychotherapy interventions,service,2
psychotic events,condition,3
psychotic symptoms,condition,3
psychotropic co-prescriptions,documents,1
ptbm,service,2
ptbm (behavior therapy),service,2
ptprf,concept,7
public health problem,condition,3
pubmed,documents,1
pulse,entity,4
putamen,entity,4
qelbree,documents,1
qm,concept,7
qms,concept,7
qms (quality measures),concept,7
qms for adhd in youth,concept,7
qol benefits,concept,7
qol domains,concept,7
qol in children and adolescents with adhd,condition,3
qtc prolongation,condition,3
quality care,condition,3
quality care metrics,documents,1
quality diagnosis,condition,3
quality in these domains may be viewed as less relevant,other,0
quality indicators,concept,7
quality measure,concept,7
quality of life,concept,7
quality of life enjoyment and satisfaction questionnaire,documents,1
quick return to baseline,concept,7
quillivant xr,concept,7
quitting a job without a plan,documents,1
racemic amphetamine sulfate,entity,4
racial and ethnic minority populations,location,10
rage,condition,3
randomized controlled clinical trials,concept,7
randomized controlled trials (rcts),documents,1
randomized trial,concept,7
rapid changes in emotional states,concept,7
rapid emotional responses,condition,3
rare genetic mutations,documents,1
rare single gene defects,other,0
rash,condition,3
rash or hypersensitivity reactions,condition,3
rates of learning disorders,condition,3
rates of psychiatric disorders,condition,3
rates of stimulant treatment,service,2
rates of substance abuse,condition,3
rating scales,documents,1
rating scales with adult norms,concept,7
ratings from other individuals,concept,7
raynaud’s phenomenon,condition,3
rct,concept,7
rcts of adhd medications,documents,1
re-evaluate goals and behavior,concept,7
reading,concept,7
"reading, spelling and arithmetic",documents,1
reappraisal,concept,7
reasonable accommodations,concept,7
rebound effect,condition,3
rebound hypertension,condition,3
reciprocity,concept,7
reckless driving,documents,1
record of special educational needs,concept,7
recovery,service,2
recovery times,concept,7
recurrence,concept,7
reduce screen time before bed,concept,7
reduce self-esteem and wellbeing,documents,1
reduce the need to take multiple doses throughout the day,condition,3
"reducing inattention, hyperactivity, and impulsivity",concept,7
referral to a dietician,service,2
regional and national databases,service,2
registry studies,documents,1
regular check-ups,service,2
regular measurement,service,2
regularly check your child's weight to ensure they are growing normally,service,2
regulation,concept,7
regulatory processes,concept,7
reinforcement techniques,documents,1
reinforcer,concept,7
rejection/likability,concept,7
relationship issues,condition,3
relationship quality,documents,1
release form of medication,concept,7
reliability and validity,concept,7
reliable change index,documents,1
reliable diagnostic measure for adhd,concept,7
rem latency,concept,7
rem sleep,concept,7
remission,concept,7
remission of aggressive behavior,condition,3
remission of all adhd symptoms,condition,3
repeat administration of rating scales,service,2
repeated suicide attempts,condition,3
repetition,concept,7
repetition of the diagnostic evaluation,service,2
reproductive-aged women,person,6
research,documents,1
research and clinical care of adhd,service,2
research methods,other,0
research participants,entity,4
"research showing that the diagnosis predicts treatment response, clinical course, and family history of the disorder",condition,3
residential instability,location,10
resilience,concept,7
resilience factors,concept,7
resilience in those susceptible to adhd,condition,3
resilience mechanisms,concept,7
resources,documents,1
responders,person,6
response cost,service,2
response rate,concept,7
response systems,other,0
response to treatment,condition,3
response-inhibition,concept,7
rested at wake-up,concept,7
restlessness,concept,7
restricted foods,documents,1
restricting synthetic food colors,service,2
results may reflect a systematic bias in our sample of raters,other,0
review of psychiatric disorders,service,2
reviews,documents,1
reward,concept,7
reward processing,concept,7
reward system,other,0
"rewarding positive behavior (eg, with a 'token economy')",concept,7
right inferior frontal cortex,other,0
risk assessment for substance misuse and drug diversion,documents,1
risk decision-making,concept,7
risk factors,concept,7
risk for adverse events,condition,3
risk of a motor vehicle collision,condition,3
risk of dying,condition,3
risk of psychosis,condition,3
risk profile or motivational tendencies,concept,7
risk reduction methods,concept,7
risks and benefits,concept,7
risks and benefits of stopping treatment discussed at least annually,documents,1
risks of stimulant misuse and diversion,entity,4
risky behaviors,concept,7
risky decisions,concept,7
risky driving behaviors,concept,7
ritalin la,concept,7
robins and guze criteria,concept,7
rule violations,concept,7
rumination,other,0
rutter's indicators of adversity,concept,7
safe storage,concept,7
safeguards,documents,1
sagitatal striatum,location,10
sanctions,concept,7
satisfaction assessment,documents,1
satisfaction assessment at least annually,other,0
saudi adhd society,organization,8
scaffolding,concept,7
scales,concept,7
scales for emotion regulation,documents,1
schedule ii controlled substances,entity,4
schizophrenia,condition,3
schizotypal personality disorder,entity,4
schoeman and liebenberg,other,0
school,location,10
school failure,other,0
"school failure, antisocial behavior, other psychiatric problems, somatic disorders, drug and alcohol abuse, accidental injuries, premature death",concept,7
school functioning,concept,7
school interventions,location,10
school performance,concept,7
school performance and grades,concept,7
school-aged children,entity,4
school-based accommodations,documents,1
school-based interventions,service,2
scientific data,documents,1
screening,entity,4
screening measures,service,2
search criteria: adhd [all fields] and (meta- analysis [title] or meta-analysis [title] or meta-analytic [title] or systematic review [title]),other,0
search criteria: adhd [tiab] and (nationwide [tiab] or national [tiab] or register [tiab] or registry [tiab]) not review [publication type] not meta-analysis [publication type],other,0
second-line nonstimulants,documents,1
secondary school teachers,organization,8
section 504 of the rehabilitation act of 1973,documents,1
secular private schools,entity,4
sedation,condition,3
seen at least once per year,other,0
seen within a timely fashion,service,2
seen within one month of first prescription,documents,1
seixas et al.,other,0
seizures,other,0
selected management strategy,service,2
selective amplification of certain emotional states,concept,7
selective noradrenaline reuptake inhibitors,documents,1
selective serotonin reuptake inhibitor (ssri),other,0
self-esteem,concept,7
self-harming behavior,condition,3
self-injury,entity,4
self-monitoring,concept,7
self-monitoring skills,concept,7
self-perceptions of competence,concept,7
self-referential thoughts and mind-wandering,concept,7
self-referral,concept,7
self-regulatory deficits,condition,3
self-regulatory deﬁcits,condition,3
self-regulatory processes,service,2
self-regulatory skills,concept,7
self-regulatory strategies,concept,7
self-report,concept,7
self-report measures,concept,7
self-report questionnaires,documents,1
self-report scale,documents,1
self-reported executive function ratings,documents,1
sensory gating,concept,7
separate issue,concept,7
serious health outcomes,other,0
serious transport accidents,condition,3
sero tonergic medication,documents,1
sero tonergic reuptake inhibitor,documents,1
serotonin activity,concept,7
serotonin syndrome,condition,3
serotonin-norepinephrine reuptake inhibitors (snri),concept,7
serum,documents,1
serum ferritin,documents,1
serum iron,concept,7
ses,concept,7
ses (socioeconomic status),concept,7
"setting small, reachable goals",concept,7
settings,location,10
seven european studies,concept,7
severe,other,0
severe adhd,condition,3
severe allergic reactions,condition,3
severe hypotension,condition,3
severe marital discord,condition,3
severe mood dys-regulation (smd),condition,3
severe mood swings,condition,3
severe psychiatric symptoms,condition,3
sex,condition,3
sexual crimes victims,condition,3
sexual dysfunction and dysmenorrhea,condition,3
sexually transmitted infections,documents,1
shared components of etiology,concept,7
shared mechanisms among disorders,concept,7
sharing,service,2
shopping behavior,concept,7
short acting,concept,7
short acting (2–4 hours),concept,7
short- and long-acting formulations of a-2 adrenergic agonists,service,2
short-acting amphetamines,entity,4
short-acting dextroamphetamine-amphetamine,concept,7
short-acting medication,concept,7
short-acting methylphenidate,entity,4
short-acting stimulants,documents,1
short-term effects,concept,7
shorter-acting (immediate-release) stimulants,concept,7
"should include other relevant stakeholders, including patients and health care systems",other,0
side effects information,concept,7
signal-to-noise processing,concept,7
signatories,person,6
simplex adhd,concept,7
simulant,concept,7
simulant medications,concept,7
single genetic abnormality,concept,7
sinusitis,condition,3
sitting near the teacher,concept,7
six studies,concept,7
six symptoms of hyperactivity-impulsivity,documents,1
six symptoms of inattention,documents,1
size,entity,4
skills training,service,2
skin reactions,condition,3
sleep,concept,7
sleep difficulties,condition,3
sleep disorder,other,0
sleep disturbances,condition,3
sleep efficiency,condition,3
sleep habits,concept,7
sleep intervention,service,2
sleep issues,condition,3
sleep onset,concept,7
sleep onset delay,condition,3
sleep onset latency,concept,7
sleep quality,concept,7
sleep-disordered breathing,condition,3
slow heart rate (bradycardia),condition,3
slowing of heart rate,condition,3
small differences in brain structure and function,condition,3
small effect,concept,7
small for gestational age,condition,3
small particulate matter levels,documents,1
small to moderate difficulties,condition,3
small-to-moderate reductions in mismatch negativity amplitude,condition,3
smaller brain areas,concept,7
smaller brain volumes,condition,3
smaller studies,documents,1
smok ing,condition,3
smoking initiation,documents,1
snacks,documents,1
snap25,entity,4
snorting,service,2
snorting (insufflation),other,0
social acceptance,service,2
social anxiety disorder,condition,3
social cognitive programs,service,2
social deficits,condition,3
social exclusion,condition,3
social factors,concept,7
social function,documents,1
social functioning,concept,7
social impairment,condition,3
social interactions,concept,7
social payoff,concept,7
social relations,entity,4
social situations,concept,7
social skills,concept,7
social skills training,service,2
social-emotional and self-regulation training program (stp-pre-k enhanced),service,2
socializing with peers,service,2
socially and clinically important outcomes,other,0
societal pressures to seek high levels of achievement,entity,4
society,entity,4
society for developmental and behavioral pediatrics,organization,8
socioeconomic cost,concept,7
solriamfetol,entity,4
somatic co-prescriptions,documents,1
somatic disorders that co-occur with adhd,condition,3
some children do better with the daily dose divided into two doses,other,0
sorcs3,entity,4
"sorcs3, ptprf, and mef2c",concept,7
specialist,person,6
specific search terms,documents,1
specific treatment approach,service,2
specifically learning disorders and low iq,entity,4
speech disorders,condition,3
speeding,concept,7
spelling,concept,7
spending too much money,documents,1
splenium of the corpus callosum,documents,1
spouses,organization,8
ssri and stimulant combination,concept,7
ssri antidepressants,other,0
ssri/snri,entity,4
st imulant medications,documents,1
stabilize substance use,condition,3
stabilizing sud,concept,7
stakeholders,person,6
standard diagnostic criteria,concept,7
standard information gathering,service,2
standard therapies,service,2
standardized mean difference,concept,7
start with a low dose and gradually increase,other,0
state university o f new york,organization,8
statements,documents,1
stephen v. faraone,person,6
stephen v. faraone et al.,person,6
stigma,condition,3
stimulant,concept,7
stimulant abuse,condition,3
stimulant adverse effects,entity,4
stimulant and non-stimulant treatments,documents,1
stimulant medication,documents,1
stimulant misuse,condition,3
stimulant misuse risk assessment,service,2
stimulant monotherapy,service,2
stimulant overdoses before contacting emergency services,condition,3
stimulant preparation,concept,7
stimulant preparations,concept,7
stimulant s,concept,7
stimulant therapy,other,0
stimulant therapy dose,concept,7
stimulant therapy or atomoxetine,service,2
stimulant treatment history,concept,7
stimulant treatment in adults,concept,7
stimulant use,concept,7
stimulant use disorder: treatment overview,documents,1
stimulant-naïve college students,person,6
stimulant-refractory,condition,3
stimulant-refractory adhd,condition,3
stimulants,concept,7
stimulants are the first line of drug treatment for adhd,concept,7
stimulants for adhd,documents,1
"stojanovski et al., 2019",documents,1
"stomachaches, nausea",other,0
strengths and difﬁculties questionnaire – dysregulation proﬁle (sdq-dp),documents,1
stress,condition,3
stress response,concept,7
stress-related strains on cognition,condition,3
stressed events during childhood,other,0
stressful environment,condition,3
stressors in family life,condition,3
strong effects,condition,3
structural grey matter volume reductions,condition,3
structural magnetic resonance imaging (mri) data,documents,1
structured behavioural observations,service,2
structured or semi-structured interviews,service,2
students who did not engage in nmu,person,6
students who reported nmu,person,6
students with disabilities,entity,4
studies,documents,1
studies regarding nmu of mph or amp,concept,7
study design,other,0
"study of 15,629 adults and adolescents",documents,1
study routes of administration,other,0
study selection,service,2
study skills,concept,7
subcortical regions,concept,7
subjective emotionality,concept,7
subjective well-being,concept,7
subjective/cognitive response system,other,0
subjectively experienced emotion,other,0
suboptimal response,condition,3
suboptimal response to pharmacotherapy,condition,3
subsequent drug use disorders,condition,3
subsequent substance use,concept,7
"subsequent substance use, abuse, or dependence",condition,3
substance abuse,condition,3
substance misuse,condition,3
substance use,condition,3
substance use evaluated at least annually,documents,1
substantial impairments,condition,3
subtle structural brain differences,concept,7
such as,other,0
sucksdorff et al.,documents,1
sud,concept,7
sudden cardiac death,condition,3
sudden death or ventricular arrhythmia,condition,3
suds,condition,3
sugar consumption,documents,1
suggestions for reduction,concept,7
suicide deaths,condition,3
suicide related events,condition,3
sulphur dioxide levels,condition,3
summer treatment camp,service,2
suny upstate president’s award for excellence and leadership in research,other,0
supplemental medications,concept,7
supplementary motor area,entity,4
supplements,documents,1
support groups,organization,8
supportive parents,organization,8
suppression of outward signs of reactivity,concept,7
surgical treatment,service,2
survey,service,2
surveys and databases,documents,1
sustained attention,concept,7
sustained release bupropion,documents,1
sustained remission,concept,7
"sustained resting tachycardia, arrhythmia or systolic bp of greater than the 95th%",condition,3
sweating,other,0
"sweating of the face, lips, tongue, or throat",other,0
sweden,location,10
swedish national registers,service,2
swedish national registers study,documents,1
swedish nationwide study,documents,1
swedish population-based study,service,2
swedish registry study,documents,1
"swelling of the face, lips, tongue, or throat",condition,3
swensen et al.,documents,1
symptom change,condition,3
symptom checklists,service,2
symptom control,condition,3
symptom expression,concept,7
symptom severity,condition,3
symptom validity tests,entity,4
symptoms,condition,3
symptoms and prescription refill requests,concept,7
symptoms commonly occurring in other disorders,other,0
symptoms throughout the day,condition,3
symptoms with just one dose,condition,3
synapse development,concept,7
synapse formation,concept,7
synapse formation and plasticity,concept,7
synaptic development,documents,1
syndrome,entity,4
systematic bias in our sample of raters,concept,7
systematic literature review,concept,7
systolic blood pressure,condition,3
tachyarrhythmias,condition,3
tachycardia,condition,3
taiwan health insurance research database,service,2
taiwanese study,service,2
taiwanese youths,organization,8
taking medication,concept,7
target goals and core symptoms,concept,7
target outcomes,condition,3
target symptoms,condition,3
task-positive dorsal and ventral attention networks,other,0
taylor et al.,other,0
tca,documents,1
tca (nortriptyline),entity,4
tca treatment,concept,7
tcas,concept,7
tdcs,service,2
teacher,person,6
teacher ratings,concept,7
teacher-assessed social skills,concept,7
teacher-rated emotional lability symptoms,documents,1
teacher-rated oppositional symptoms,documents,1
teacher-reported behavior,concept,7
teachers of children with adhd,person,6
techniques,entity,4
teen pregnancies,documents,1
teenage pregnancy,condition,3
teenage pregnancy and sexually transmitted diseases,documents,1
teenage pregnancy4,documents,1
teenagers with adhd,entity,4
temper outbursts,documents,1
temporal pole,location,10
temporal region,location,10
temporo-parieto-occipital regions,location,10
tenex,service,2
test scores,documents,1
testicular dysfunction,condition,3
tetrahydrocannabinol (marijuana),service,2
thalamus,location,10
the american professional society of adhd and related disorders (apsard),organization,8
theft,concept,7
therapeutic approaches,concept,7
therapeutic range,concept,7
therapies,service,2
therapy,concept,7
therapy (medications),service,2
this side effect usually improves over time,other,0
thorough evaluation,service,2
those seeking treatment,location,10
those with epilepsy,person,6
thresholds for stimuli to activate emotion,concept,7
thyroid problems in mothers during pregnancy,condition,3
tic problems,concept,7
time,date,5
time course for improvement,concept,7
time management,concept,7
time off medication,concept,7
time-out,service,2
timely fashion,concept,7
timing of medication,concept,7
tips for using amphetamine-based medications,concept,7
titration stage,concept,7
tms,concept,7
tns,service,2
token economy,service,2
tolerability,concept,7
tools,documents,1
tools for clinicians,concept,7
tools for screening,documents,1
topic,concept,7
total sleep time,condition,3
toxic substances,documents,1
tracking and remote measurement technologies,documents,1
traffic accidents,documents,1
tranquilizers/sedatives,other,0
trans-diagnostic phenomena,concept,7
transfer of care,concept,7
transition care,service,2
transition care coordinated for vacations and other times away,service,2
transport accidents,condition,3
trauma,other,0
trauma-related emergency room admission,condition,3
traumatic brain injuries,condition,3
traumatic brain injury early in life,other,0
treating adhd and preventing adverse outcomes,concept,7
treatment alternatives,entity,4
"treatment alternatives, benefits and risks",concept,7
"treatment alternatives, benefits and risks have been discussed",documents,1
treatment discontinuation,documents,1
treatment discontinuity,concept,7
treatment efficacy,concept,7
treatment ending early as the result of adverse events,condition,3
treatment follow-up,service,2
treatment of coexisting conditions,service,2
treatment options,documents,1
treatment plan,concept,7
treatment planning,service,2
treatment selection,concept,7
treatment service utilization,service,2
treatment studies,documents,1
treatment success,concept,7
treatment targets,concept,7
tremor,condition,3
trends in nmu,other,0
trial,documents,1
trials norms availability,documents,1
tricyclic antidepressant,concept,7
tricyclic antidepressants (tcas),concept,7
trigeminal nerve stimulation,service,2
trigeminal nerve stimulation (tns),service,2
trouble falling and staying asleep,condition,3
trouble focusing attention,concept,7
trouble sleeping,condition,3
trouble sleeping or insomnia,condition,3
turn-taking,service,2
twins,entity,4
two-year mortality risk from all-causes,condition,3
type 1 diabetes mellitus (t1dm),condition,3
type 2 diabetes,condition,3
typically developing individuals,entity,4
typically developing peers,entity,4
u.s. food and drug administration,organization,8
u.s. studies,documents,1
ukaan,organization,8
ulcerative colitis,documents,1
uncertainty,condition,3
underlying heart conditions,condition,3
unemployment,condition,3
unhealthy dietary habits,documents,1
unintended injuries,concept,7
united kingdom,location,10
united states,location,10
unmedicated adults,concept,7
unnatural causes of mortality,condition,3
"unnatural causes such as suicide, accidental poisoning or injury",condition,3
unusual changes in behavior,condition,3
upper secondary school,location,10
urbanization level,location,10
urinary hesitancy,other,0
us,location,10
us adults,entity,4
us agency for healthcare research and quality (ahrq),organization,8
us college populations,entity,4
us college-aged women,location,10
us data bases,organization,8
us population,entity,4
usage,concept,7
use of cannabis is not necessarily a contraindication to prescribing stimulant medication,concept,7
use of outside provider for adhd diagnosis,service,2
"using calm discipline (eg, time out, distraction, removing the child from the situation)",concept,7
using charts and checklists to help the child stay 'on task',concept,7
vacations and other times away,condition,3
validated measure,documents,1
validated measure of symptom change,service,2
validated method to screen for adhd,concept,7
validity of adhd as a mental disorder,condition,3
valproate,documents,1
valuation,other,0
vehicular crashes,concept,7
venlafaxine,other,0
venous thromboembolism,condition,3
ventral anterior cingulate cortex,entity,4
ventromedial orbito-frontal cortical thickness,concept,7
ventromedial prefrontal cortex,other,0
verbal memory,concept,7
verbal working memory,concept,7
video game-like intervention,concept,7
viloxazine,documents,1
viloxazine (qelbree),documents,1
viloxazine dose,documents,1
viloxazine er,documents,1
viloxazine extended-release,entity,4
violent crimes,condition,3
violent crimes against youth,concept,7
viral pneumonia,condition,3
vision problems,condition,3
visit,concept,7
visual attention,concept,7
visual disturbances,condition,3
visuospatial working memory,concept,7
vital signs,entity,4
vitals prior to medication treatment,service,2
vitals taken at least annually,documents,1
vitamins,concept,7
vomiting,condition,3
vulnerability for emotional disorders (mood and anxiety),concept,7
vulnerability to psychosis,condition,3
vyvanse,documents,1
waiting-list controls,concept,7
warnings and contraindications for medication,concept,7
weak support systems,condition,3
weekends,condition,3
weight,other,0
weight gain,condition,3
weight loss,condition,3
weight loss in people with adhd,condition,3
weight monitoring,concept,7
weiss functional impairment rating scale,documents,1
well-trained professionals,person,6
wender-reimherr adult attention deficit disorder scale,documents,1
wes study,service,2
white blood cell disorders,condition,3
white matter,concept,7
white matter integrity,other,0
white-majority countries,location,10
whole-exome sequencing (wes) study,service,2
wide variations in the definition of nmu,concept,7
"wilens te, hammerness pg. straight talk about psychiatric medications for kids, 4th edition",documents,1
willingness to use stimulants,concept,7
wolraich et al.,other,0
work functioning,documents,1
work performance,concept,7
working memory,concept,7
working memory impairments,concept,7
working memory training,service,2
world,location,10
world federation,organization,8
world federation of adhd,organization,8
world health organization,organization,8
world health organization's adult self report scale (asrs-v1.1),concept,7
worse anorexia,condition,3
worse social adjustment,concept,7
worsened heart problems,condition,3
wraadds (wender-reimherr adult attention deﬁcitdisorder scale),documents,1
year of first adhd diagnosis,date,5
years of schooling,concept,7
yoga,service,2
young adult populations,condition,3
young adults who do not attend college,entity,4
youth adhd prevalence,concept,7
youth adhd symptoms,condition,3
youth aged 14-20,documents,1
youth and adults worldwide,location,10
youth with adhd,entity,4
youth with adhd and other psychiatric diagnoses,entity,4
"youths (9 studies, 2677 participants)",date,5
zenzedi,documents,1
zom bie effect,concept,7
zombie effect,concept,7
ɑ2 agonists,entity,4
α2 agonists,entity,4
α2-adrenergic medications,service,2
€1 billion,concept,7
"€16,000",documents,1
"€2,800 per patient",other,0
"€2,800 per patient (libutzki et al., 2019)",other,0
"€20,000 (daley et al., 2019)",other,0
€304,other,0
"€304 (du rietz et al., 2020)",other,0
"€9,860 to €14,483 per patient per year",concept,7
diagnosis and management,concept,7
drug or alcohol use disorder,other,0
parents' concerns,entity,4
sexual abuse and physical neglect,condition,3
core symptoms monitoring,service,2
"questions about the settings in which symptoms occur, onset, duration, and any periods of remission",documents,1
broadband psychopathology,concept,7
sex differences,concept,7
treatment effects,concept,7
adherence to the treatment plan,condition,3
gwas catalog,documents,1
initial treatment with medication alone,other,0
vocational activities,other,0
"rash, itching, swelling, severe dizziness, or difficulty breathing",condition,3
fewer studies,concept,7
self-regulatory mechanisms,concept,7
"psychological, behavioral and educational or occupational needs",concept,7
children with problematic behavior,entity,4
developmental trajectories,concept,7
motor control,concept,7
information about adhd,service,2
adhd gwas associations,documents,1
significantly better scores on measures of impulsivity and emotional lability,concept,7
supplementary box 1,documents,1
effect on your child’s attention and behavior,condition,3
target goals monitoring,service,2
odds ratios,documents,1
"those reporting nmu in a survey of 4,297 us adults",entity,4
self-regulatory functions,entity,4
% patients treated for adhd having documented dsm-5 diagnosis,other,0
conflict resolution,concept,7
comprehensive treatment program,concept,7
cardiologist,person,6
valence-free terms,entity,4
extended-release mph treatment,service,2
parent and self-rated social impairment,condition,3
extended-release mph,service,2
negative valence,concept,7
weak self-regulatory processes,concept,7
management aspect,entity,4
disorder (adhd),condition,3
processing speed,concept,7
consistent terminology across studies and publications,condition,3
child maltreatment,condition,3
national center for biotechnology information,organization,8
covariate adjustment,service,2
dietician,person,6
heart block or severe bradycardia,condition,3
high emotional dysregulation factor,concept,7
approaches to management,concept,7
clinically significant change,concept,7
overall functioning at work and relationships,concept,7
gene–environment interplay,concept,7
sibling-control,entity,4
% patients prescribed medication for adhd seen within one month of initial prescription,other,0
individuals with a suboptimal response,other,0
functioning during adolescence,concept,7
multidomain data,entity,4
monthly/quarterly monitoring,service,2
prevention of nmu,condition,3
self-referential processing,concept,7
social assessment,documents,1
severe behavioral changes or worsening of psychiatric symptoms,condition,3
pharmacotherapy stage,concept,7
level,concept,7
interventions designed to mitigate risk,condition,3
20,other,0
mesolimbic,concept,7
functioning in early adulthood,concept,7
improvements in emotional regulation,concept,7
specific populations,entity,4
"bp, pulse, weight and height",concept,7
predictor,concept,7
variants,documents,1
safer lifestyle therapies,concept,7
requirements of controlled drug legislation governing stimulant prescription,concept,7
psychiatric and somatic comorbidities,concept,7
small cohort studies of male patients,entity,4
"behavioral, emotional, and academic issues",concept,7
rapid increase in blood pressure,condition,3
barkley adhd rating scale iv,documents,1
monitoring for symptomatic improvement,concept,7
epigenetics,documents,1
core symptoms reduction,concept,7
problematic foods,documents,1
% patients with adhd having review of other psychiatric disorders,other,0
motivations,concept,7
alcohol use,concept,7
attainment of the target outcome,concept,7
fainting or dizziness,condition,3
effects last about 4 hours after the medication is taken,condition,3
longer-acting stimulants,concept,7
adhd symptoms by improving communication between brain cells,concept,7
"remission of irritability among highly volatile, aggressive children with adhd",concept,7
length of time that the stimulant works,condition,3
respondents who used stimulants for weight loss,entity,4
cornerstone diagnostic tools for adhd,concept,7
national registers,service,2
prisma guidelines,concept,7
response to therapy,condition,3
adverse effects of therapy,concept,7
weekly monitoring,service,2
screen for nmu,condition,3
"% patients receiving adhd medications for whom treatment alternatives, benefits and risks have been discussed",other,0
frequency,concept,7
residence,location,10
% patients with adhd where validated measure of symptom change used to assess treatment efficacy at least annually,other,0
error detection,concept,7
% patients with adhd assessed for vitals prior to medication treatment,other,0
% patients with adhd for whom warnings and contraindications for medication were reviewed,other,0
